Date,Close,Volume,Open,High,Low,Company
12/18/24,0.17,5526,0.17,$0.17 ,$0.17 ,CPCPF
12/17/24,0.15,25430,0.16,$0.16 ,$0.15 ,CPCPF
12/16/24,0.16,2525,0.16,$0.16 ,$0.16 ,CPCPF
12/13/24,0.14,5231,0.13,$0.14 ,$0.13 ,CPCPF
12/12/24,0.15,20525,0.14,$0.15 ,$0.14 ,CPCPF
12/11/24,0.14,46000,0.14,$0.14 ,$0.14 ,CPCPF
12/10/24,0.13,19861,0.14,$0.14 ,$0.13 ,CPCPF
12/9/24,0.14,11110,0.14,$0.14 ,$0.14 ,CPCPF
12/6/24,0.15,31501,0.15,$0.15 ,$0.14 ,CPCPF
12/5/24,0.15,32121,0.16,$0.17 ,$0.15 ,CPCPF
12/4/24,0.17,51700,0.17,$0.17 ,$0.16 ,CPCPF
12/3/24,0.17,147567,0.18,$0.18 ,$0.17 ,CPCPF
12/2/24,0.19,72691,0.18,$0.19 ,$0.16 ,CPCPF
11/29/24,0.14,6997,0.14,$0.14 ,$0.14 ,CPCPF
11/27/24,0.13,67692,0.13,$0.13 ,$0.13 ,CPCPF
11/26/24,0.13,29131,0.12,$0.16 ,$0.12 ,CPCPF
11/25/24,0.13,211637,0.12,$0.14 ,$0.12 ,CPCPF
11/22/24,0.11,36419,0.11,$0.11 ,$0.11 ,CPCPF
11/21/24,0.11,16000,0.11,$0.11 ,$0.11 ,CPCPF
11/20/24,0.1,71850,0.11,$0.11 ,$0.09 ,CPCPF
11/19/24,0.11,39900,0.11,$0.11 ,$0.09 ,CPCPF
11/18/24,0.09,204238,0.09,$0.10 ,$0.08 ,CPCPF
11/15/24,0.06,44228,0.05,$0.08 ,$0.05 ,CPCPF
11/14/24,0.07,5000,0.07,$0.07 ,$0.07 ,CPCPF
11/13/24,0.07,45679,0.06,$0.07 ,$0.06 ,CPCPF
11/12/24,0.06,160125,0.07,$0.07 ,$0.06 ,CPCPF
11/11/24,0.08,79085,0.07,$0.08 ,$0.06 ,CPCPF
11/8/24,0.07,123983,0.1,$0.10 ,$0.07 ,CPCPF
11/7/24,0.08,235500,0.1,$0.10 ,$0.06 ,CPCPF
11/6/24,0.07,291500,0.07,$0.11 ,$0.06 ,CPCPF
11/5/24,0.08,90402,0.08,$0.08 ,$0.08 ,CPCPF
11/4/24,0.08,N/A,0.08,$0.08 ,$0.08 ,CPCPF
11/1/24,0.08,1849,0.09,$0.09 ,$0.08 ,CPCPF
10/31/24,0.08,42929,0.1,$0.10 ,$0.08 ,CPCPF
10/30/24,0.08,160050,0.07,$0.10 ,$0.07 ,CPCPF
10/29/24,0.07,27600,0.07,$0.07 ,$0.07 ,CPCPF
10/28/24,0.07,56000,0.06,$0.07 ,$0.06 ,CPCPF
10/25/24,0.06,5000,0.06,$0.06 ,$0.06 ,CPCPF
10/24/24,0.06,N/A,0.06,$0.06 ,$0.06 ,CPCPF
10/23/24,0.06,N/A,0.06,$0.06 ,$0.06 ,CPCPF
10/22/24,0.06,110000,0.05,$0.06 ,$0.05 ,CPCPF
10/21/24,0.05,1975,0.05,$0.05 ,$0.05 ,CPCPF
10/18/24,0.05,40600,0.05,$0.05 ,$0.05 ,CPCPF
10/17/24,0.05,N/A,0.05,$0.05 ,$0.05 ,CPCPF
10/16/24,0.05,N/A,0.05,$0.05 ,$0.05 ,CPCPF
10/15/24,0.05,990,0.05,$0.05 ,$0.05 ,CPCPF
10/14/24,0.05,N/A,0.05,$0.05 ,$0.05 ,CPCPF
10/11/24,0.05,30100,0.05,$0.06 ,$0.05 ,CPCPF
10/10/24,0.05,19195,0.05,$0.05 ,$0.04 ,CPCPF
10/9/24,0.05,1170,0.05,$0.05 ,$0.05 ,CPCPF
10/8/24,0.06,1333,0.06,$0.06 ,$0.06 ,CPCPF
10/7/24,0.05,N/A,0.05,$0.05 ,$0.05 ,CPCPF
10/4/24,0.05,27250,0.06,$0.06 ,$0.05 ,CPCPF
10/3/24,0.06,3595,0.06,$0.06 ,$0.05 ,CPCPF
10/2/24,0.06,2100,0.06,$0.06 ,$0.06 ,CPCPF
