Date,Close,Volume,Open,High,Low,Company
12/18/24,0.51,335,0.51,$0.51 ,0.51,OILCF
12/17/24,2.66,N/A,2.66,$2.66 ,2.66,OILCF
12/16/24,2.66,195,2.66,$2.66 ,2.66,OILCF
12/13/24,0.02,N/A,0.02,$0.02 ,0.02,OILCF
12/12/24,0.02,N/A,0.02,$0.02 ,0.02,OILCF
12/11/24,0.02,N/A,0.02,$0.02 ,0.02,OILCF
12/10/24,0.02,N/A,0.02,$0.02 ,0.02,OILCF
12/9/24,0.02,1052,0.02,$0.02 ,0.02,OILCF
12/6/24,2.26,1562,2.4,$2.40 ,2.26,OILCF
12/5/24,3.6,N/A,3.6,$3.60 ,3.6,OILCF
12/4/24,3.6,N/A,3.6,$3.60 ,3.6,OILCF
12/3/24,3.6,N/A,3.6,$3.60 ,3.6,OILCF
12/2/24,3.6,N/A,3.6,$3.60 ,3.6,OILCF
11/29/24,3.6,N/A,3.6,$3.60 ,3.6,OILCF
11/27/24,3.6,N/A,3.6,$3.60 ,3.6,OILCF
11/26/24,3.6,200,3.7,$3.70 ,3.6,OILCF
11/25/24,3.73,730,3.49,$3.73 ,3.49,OILCF
11/22/24,3.5,N/A,3.5,$3.50 ,3.5,OILCF
11/21/24,3.5,N/A,3.5,$3.50 ,3.5,OILCF
11/20/24,3.5,1770,3.25,$3.50 ,3.25,OILCF
11/19/24,3.06,N/A,3.06,$3.06 ,3.06,OILCF
11/18/24,3.06,2484,3,$3.06 ,3,OILCF
11/15/24,2.15,198,2.15,$2.15 ,2.15,OILCF
11/14/24,2.15,N/A,2.15,$2.15 ,2.15,OILCF
11/13/24,2.15,N/A,2.15,$2.15 ,2.15,OILCF
11/12/24,2.15,N/A,2.15,$2.15 ,2.15,OILCF
11/11/24,2.15,252,2.15,$2.15 ,2.15,OILCF
11/8/24,2.19,N/A,2.19,$2.19 ,2.19,OILCF
11/7/24,2.19,N/A,2.19,$2.19 ,2.19,OILCF
11/6/24,2.19,N/A,2.19,$2.19 ,2.19,OILCF
11/5/24,2.19,N/A,2.19,$2.19 ,2.19,OILCF
11/4/24,2.19,N/A,2.19,$2.19 ,2.19,OILCF
11/1/24,2.19,N/A,2.19,$2.19 ,2.19,OILCF
10/31/24,2.19,N/A,2.19,$2.19 ,2.19,OILCF
10/30/24,2.19,N/A,2.19,$2.19 ,2.19,OILCF
10/29/24,2.19,N/A,2.19,$2.19 ,2.19,OILCF
10/28/24,2.19,N/A,2.19,$2.19 ,2.19,OILCF
10/25/24,2.19,N/A,2.19,$2.19 ,2.19,OILCF
10/24/24,2.19,N/A,2.19,$2.19 ,2.19,OILCF
10/23/24,2.19,N/A,2.19,$2.19 ,2.19,OILCF
10/22/24,2.19,N/A,2.19,$2.19 ,2.19,OILCF
10/21/24,2.19,N/A,2.19,$2.19 ,2.19,OILCF
10/18/24,2.19,N/A,2.19,$2.19 ,2.19,OILCF
10/17/24,2.19,550,2.19,$2.19 ,2.19,OILCF
10/16/24,4,N/A,4,$4.00 ,4,OILCF
10/15/24,4,N/A,4,$4.00 ,4,OILCF
10/14/24,4,N/A,4,$4.00 ,4,OILCF
10/11/24,4,N/A,4,$4.00 ,4,OILCF
10/10/24,4,N/A,4,$4.00 ,4,OILCF
10/9/24,4,N/A,4,$4.00 ,4,OILCF
10/8/24,4,N/A,4,$4.00 ,4,OILCF
10/7/24,4,N/A,4,$4.00 ,4,OILCF
10/4/24,4,N/A,4,$4.00 ,4,OILCF
10/3/24,4,N/A,4,$4.00 ,4,OILCF
10/2/24,4,N/A,4,$4.00 ,4,OILCF
10/1/24,4,N/A,4,$4.00 ,4,OILCF
9/30/24,4,N/A,4,$4.00 ,4,OILCF
9/27/24,4,N/A,4,$4.00 ,4,OILCF
9/26/24,4,N/A,4,$4.00 ,4,OILCF
9/25/24,4,N/A,4,$4.00 ,4,OILCF
9/24/24,4,N/A,4,$4.00 ,4,OILCF
9/23/24,4,N/A,4,$4.00 ,4,OILCF
9/20/24,4,N/A,4,$4.00 ,4,OILCF
9/19/24,4,N/A,4,$4.00 ,4,OILCF
9/18/24,4,N/A,4,$4.00 ,4,OILCF
9/17/24,4,N/A,4,$4.00 ,4,OILCF
9/16/24,4,N/A,4,$4.00 ,4,OILCF
9/13/24,4,N/A,4,$4.00 ,4,OILCF
9/12/24,4,N/A,4,$4.00 ,4,OILCF
9/11/24,4,N/A,4,$4.00 ,4,OILCF
9/10/24,4,N/A,4,$4.00 ,4,OILCF
9/9/24,4,N/A,4,$4.00 ,4,OILCF
9/6/24,4,N/A,4,$4.00 ,4,OILCF
9/5/24,4,N/A,4,$4.00 ,4,OILCF
9/4/24,4,N/A,4,$4.00 ,4,OILCF
9/3/24,4,N/A,4,$4.00 ,4,OILCF
8/30/24,4,N/A,4,$4.00 ,4,OILCF
8/29/24,4,N/A,4,$4.00 ,4,OILCF
8/28/24,4,N/A,4,$4.00 ,4,OILCF
8/27/24,4,N/A,4,$4.00 ,4,OILCF
8/26/24,4,N/A,4,$4.00 ,4,OILCF
8/23/24,4,N/A,4,$4.00 ,4,OILCF
8/22/24,4,N/A,4,$4.00 ,4,OILCF
8/21/24,4,N/A,4,$4.00 ,4,OILCF
8/20/24,4,N/A,4,$4.00 ,4,OILCF
8/19/24,4,N/A,4,$4.00 ,4,OILCF
8/16/24,4,N/A,4,$4.00 ,4,OILCF
8/15/24,4,N/A,4,$4.00 ,4,OILCF
8/14/24,4,N/A,4,$4.00 ,4,OILCF
8/13/24,4,N/A,4,$4.00 ,4,OILCF
8/12/24,4,N/A,4,$4.00 ,4,OILCF
8/9/24,4,N/A,4,$4.00 ,4,OILCF
8/8/24,4,N/A,4,$4.00 ,4,OILCF
8/7/24,4,N/A,4,$4.00 ,4,OILCF
8/6/24,4,N/A,4,$4.00 ,4,OILCF
8/5/24,4,N/A,4,$4.00 ,4,OILCF
8/2/24,4,N/A,4,$4.00 ,4,OILCF
8/1/24,4,N/A,4,$4.00 ,4,OILCF
7/31/24,4,N/A,4,$4.00 ,4,OILCF
7/30/24,4,N/A,4,$4.00 ,4,OILCF
7/29/24,4,N/A,4,$4.00 ,4,OILCF
7/26/24,4,N/A,4,$4.00 ,4,OILCF
7/25/24,4,N/A,4,$4.00 ,4,OILCF
7/24/24,4,N/A,4,$4.00 ,4,OILCF
7/23/24,4,N/A,4,$4.00 ,4,OILCF
7/22/24,4,N/A,4,$4.00 ,4,OILCF
7/19/24,4,N/A,4,$4.00 ,4,OILCF
7/18/24,4,100,4,$4.00 ,4,OILCF
7/17/24,4,N/A,4,$4.00 ,4,OILCF
7/16/24,4,N/A,4,$4.00 ,4,OILCF
7/15/24,4,N/A,4,$4.00 ,4,OILCF
7/12/24,4,N/A,4,$4.00 ,4,OILCF
7/11/24,4,N/A,4,$4.00 ,4,OILCF
7/10/24,4,N/A,4,$4.00 ,4,OILCF
7/9/24,4,N/A,4,$4.00 ,4,OILCF
7/8/24,4,N/A,4,$4.00 ,4,OILCF
7/5/24,4,N/A,4,$4.00 ,4,OILCF
7/3/24,4,N/A,4,$4.00 ,4,OILCF
7/2/24,4,N/A,4,$4.00 ,4,OILCF
7/1/24,4,N/A,4,$4.00 ,4,OILCF
6/28/24,4,N/A,4,$4.00 ,4,OILCF
6/27/24,4,N/A,4,$4.00 ,4,OILCF
6/26/24,4,N/A,4,$4.00 ,4,OILCF
6/25/24,4,N/A,4,$4.00 ,4,OILCF
6/24/24,4,N/A,4,$4.00 ,4,OILCF
6/21/24,4,N/A,4,$4.00 ,4,OILCF
6/20/24,4,N/A,4,$4.00 ,4,OILCF
