Date,Close,Volume,Open,High,Low,Company
12/18/24,21.3731,1918,22.1186,22.1186,21.21,COAL
12/17/24,22.0421,2246,21.91,22.0421,21.91,COAL
12/16/24,22.3001,5435,22.46,22.55,22.29,COAL
12/13/24,22.6892,852,22.62,22.705,22.62,COAL
12/12/24,22.932,760,22.77,22.932,22.77,COAL
12/11/24,23.0168,2438,23.09,23.15,22.9918,COAL
12/10/24,22.9752,1430,23.25,23.25,22.9,COAL
12/9/24,22.9923,4903,23.2,23.61,22.99,COAL
12/6/24,22.754,4975,23.1638,23.1638,22.65,COAL
12/5/24,23.3735,430,23.44,23.44,23.34,COAL
12/4/24,23.4912,1086,23.5,23.565,23.4,COAL
12/3/24,23.7217,2917,23.98,23.98,23.63,COAL
12/2/24,23.77,2220,23.96,23.96,23.77,COAL
11/29/24,23.98,907,24,24,23.98,COAL
11/27/24,24.1211,213,24.21,24.21,24.1211,COAL
11/26/24,24.0218,965,24.36,24.36,24.02,COAL
11/25/24,24.26,2761,24.37,24.43,24.26,COAL
11/22/24,24.4702,1355,24.6,24.6,24.34,COAL
11/21/24,24.5462,5551,24.1,24.5462,24.0978,COAL
11/20/24,24.0478,2803,23.9,24.0599,23.88,COAL
11/19/24,23.95,2953,23.99,23.99,23.89,COAL
11/18/24,23.89,2245,23.72,24.0899,23.72,COAL
11/15/24,23.31,1891,23.6,23.6,23.31,COAL
11/14/24,23.4956,3915,23.56,23.65,23.386,COAL
11/13/24,23.6557,1507,23.49,23.66,23.49,COAL
11/12/24,23.6158,4018,24.23,24.23,23.578,COAL
11/11/24,24.3595,2120,24.29,24.53,24.29,COAL
11/8/24,24.5385,5340,24.77,24.77,24.3,COAL
11/7/24,25.0549,5546,24.61,25.17,24.61,COAL
11/6/24,24.5837,2105,24.225,24.5837,24.07,COAL
11/5/24,23.74,427,23.5,23.74,23.5,COAL
11/4/24,23.1331,818,23.1,23.1331,23.1,COAL
11/1/24,23.063,910,23.215,23.215,23.0201,COAL
10/31/24,23.1584,487,23,23.1584,22.9786,COAL
10/30/24,22.782,1714,22.79,22.9,22.71,COAL
10/29/24,22.955,1352,23.01,23.02,22.9,COAL
10/28/24,23.1405,2143,22.89,23.1405,22.89,COAL
10/25/24,22.7342,4025,22.85,22.85,22.66,COAL
10/24/24,22.5578,1644,22.44,22.64,22.44,COAL
10/23/24,22.4235,1517,22.65,22.65,22.21,COAL
